Visible or Deactivate (Hidden)?,Column1,Level Nothing ,Level 1,Level 1 Name,Level 2,Level 2 Name,Clarifications / Additional notes on coverage,Level 3 Code,Level 3 Name
Hidden,100,Governance,151,Government & Civil Society,15119,Debt and aid management,"Management of public debt and foreign aid received (in the partner country). For reporting on debt reorganisation, use codes 600xx.",0,Unspecified
,,Governance,151,Government & Civil Society,15120,Public sector financial management,,0,Unspecified
Hidden,75,Governance,151,Government & Civil Society,15121,Foreign affairs,Administration of external affairs and services.,0,Unspecified
Hidden,76,Governance,151,Government & Civil Society,15122,Diplomatic missions,Operation of diplomatic and consular missions stationed abroad or at offices of international organisations.,0,Unspecified
Hidden,77,Governance,151,Government & Civil Society,15123,Administration of developing countries' foreign aid,Support to administration of developing countries' foreign aid (including triangular and south-south cooperation).,0,Unspecified
Hidden,78,Governance,151,Government & Civil Society,15124,General personnel services,"Administration and operation of the civil service including policies, procedures and regulations.",0,Unspecified
Hidden,79,Governance,151,Government & Civil Society,15125,Public Procurement,"Support to public procurement, including to create and evaluate legal frameworks; advice in establishing strategic orientation of public procurement policies and reforms; advice in designing public procurement systems and processes; support to public procurement institutions (including electronic procurement) as well as structures or initiatives to assess public procurement systems; and development of professional capacity of public procurement bodies and staff.",0,Unspecified
Hidden,80,Governance,151,Government & Civil Society,15126,Other general public services,"Maintenance and storage of government records and archives, operation of government-owned or occupied buildings, central motor vehicle pools, government-operated printing offices, centralised computer and data processing services, etc.",0,Unspecified
Hidden,81,Governance,151,Government & Civil Society,15127,National monitoring and evaluation,Operation or support of institutions providing national monitoring and evaluation.,0,Unspecified
Hidden,112,Governance,151,Government & Civil Society,15128,Local government finance,Financial transfers to local government; support to institutions managing such transfers. (Use specific sector codes for sector-related transfers.),0,Unspecified
Hidden,113,Governance,151,Government & Civil Society,15129,Other central transfers to institutions,Transfers to non sector-specific autonomous bodies or state-owned enterprises outside of local government finance; support to institutions managing such transfers. (Use specific sector codes for sector-related transfers.),0,Unspecified
,136,Governance,151,Government & Civil Society,15130,Legal and judicial development,"Support to institutions, systems and procedures of the justice sector, both formal and informal; support to ministries of justice, the interior and home affairs; judges and courts; legal drafting services; bar and lawyers associations; professional legal education; maintenance of law and order and public safety; border management; law enforcement agencies, police, prisons and their supervision; ombudsmen; alternative dispute resolution, arbitration and mediation; legal aid and counsel; traditional, indigenous and paralegal practices that fall outside the formal legal system. Measures that support the improvement of legal frameworks, constitutions, laws and regulations; legislative and constitutional drafting and review; legal reform; integration of formal and informal systems of law. Public legal education; dissemination of information on entitlements and remedies for injustice; awareness campaigns. (Use codes 152xx for activities that are primarily aimed at supporting security system reform or undertaken in connection with post-conflict and peace building activities.)",1513001,Court administration
,137,Governance,151,Government & Civil Society,15130,Legal and judicial development,"Support to institutions, systems and procedures of the justice sector, both formal and informal; support to ministries of justice, the interior and home affairs; judges and courts; legal drafting services; bar and lawyers associations; professional legal education; maintenance of law and order and public safety; border management; law enforcement agencies, police, prisons and their supervision; ombudsmen; alternative dispute resolution, arbitration and mediation; legal aid and counsel; traditional, indigenous and paralegal practices that fall outside the formal legal system. Measures that support the improvement of legal frameworks, constitutions, laws and regulations; legislative and constitutional drafting and review; legal reform; integration of formal and informal systems of law. Public legal education; dissemination of information on entitlements and remedies for injustice; awareness campaigns. (Use codes 152xx for activities that are primarily aimed at supporting security system reform or undertaken in connection with post-conflict and peace building activities.)",1513002,Justice and Security Sector Strengthening
,138,Governance,151,Government & Civil Society,15130,Legal and judicial development,"Support to institutions, systems and procedures of the justice sector, both formal and informal; support to ministries of justice, the interior and home affairs; judges and courts; legal drafting services; bar and lawyers associations; professional legal education; maintenance of law and order and public safety; border management; law enforcement agencies, police, prisons and their supervision; ombudsmen; alternative dispute resolution, arbitration and mediation; legal aid and counsel; traditional, indigenous and paralegal practices that fall outside the formal legal system. Measures that support the improvement of legal frameworks, constitutions, laws and regulations; legislative and constitutional drafting and review; legal reform; integration of formal and informal systems of law. Public legal education; dissemination of information on entitlements and remedies for injustice; awareness campaigns. (Use codes 152xx for activities that are primarily aimed at supporting security system reform or undertaken in connection with post-conflict and peace building activities.)",1513003,"Policy, Evidence and Research"
Hidden,139,Governance,151,Government & Civil Society,15131,"Justice, law and order policy, planning and administration",Judicial law and order sectors; policy development within ministries of justice or equivalents.,0,Unspecified
Hidden,140,Governance,151,Government & Civil Society,15132,Police,Police affairs and services.,0,Unspecified
Hidden,141,Governance,151,Government & Civil Society,15133,Fire and rescue services,Fire-prevention and fire-fighting affairs and services.,0,Unspecified
Hidden,142,Governance,151,Government & Civil Society,15134,Judicial affairs,"Civil and criminal law courts and the judicial system, including enforcement of fines and legal settlements imposed by the courts and operation of parole and probation systems.",0,Unspecified
Hidden,143,Governance,151,Government & Civil Society,15135,Ombudsman,Independent service representing the interests of the public by investigating and addressing complaints of unfair treatment or maladministration.,0,Unspecified
Hidden,144,Governance,151,Government & Civil Society,15136,Immigration,"Immigration affairs and services, including alien registration, issuing work and travel documents to immigrants.",0,Unspecified
Hidden,145,Governance,151,Government & Civil Society,15137,Prisons,,0,Unspecified
Hidden,82,Governance,151,Government & Civil Society,15143,Meteorological services,Operation or support of institutions dealing with weather forecasting.,0,Unspecified
Hidden,83,Governance,151,Government & Civil Society,15144,National standards development,Operation or support of institutions dealing with national standards development. (Use code 16062 for statistical capacity-building.),0,Unspecified
,146,Governance,151,Government & Civil Society,15150,Democratic participation and civil society,"Support to the exercise of democracy and diverse forms of participation of citizens beyond elections (15151); direct democracy instruments such as referenda and citizens’ initiatives; support to organisations to represent and advocate for their members, to monitor, engage and hold governments to account, and to help citizens learn to act in the public sphere; curricula and teaching for civic education at various levels. (This purpose code is restricted to activities targeting governance issues. When assistance to civil society is for non-governance purposes use other appropriate purpose codes.)",1515001,Participatory Citizen Engagement
,147,Governance,151,Government & Civil Society,15150,Democratic participation and civil society,"Support to the exercise of democracy and diverse forms of participation of citizens beyond elections (15151); direct democracy instruments such as referenda and citizens’ initiatives; support to organisations to represent and advocate for their members, to monitor, engage and hold governments to account, and to help citizens learn to act in the public sphere; curricula and teaching for civic education at various levels. (This purpose code is restricted to activities targeting governance issues. When assistance to civil society is for non-governance purposes use other appropriate purpose codes.)",1515002,Voice and Accountability
,148,Governance,151,Government & Civil Society,15150,Democratic participation and civil society,"Support to the exercise of democracy and diverse forms of participation of citizens beyond elections (15151); direct democracy instruments such as referenda and citizens’ initiatives; support to organisations to represent and advocate for their members, to monitor, engage and hold governments to account, and to help citizens learn to act in the public sphere; curricula and teaching for civic education at various levels. (This purpose code is restricted to activities targeting governance issues. When assistance to civil society is for non-governance purposes use other appropriate purpose codes.)",1515003,Coalition Building
,150,Governance,151,Government & Civil Society,15150,Democratic participation and civil society,"Support to the exercise of democracy and diverse forms of participation of citizens beyond elections (15151); direct democracy instruments such as referenda and citizens’ initiatives; support to organisations to represent and advocate for their members, to monitor, engage and hold governments to account, and to help citizens learn to act in the public sphere; curricula and teaching for civic education at various levels. (This purpose code is restricted to activities targeting governance issues. When assistance to civil society is for non-governance purposes use other appropriate purpose codes.)",0,Unspecified
,149,Governance,151,Government & Civil Society,15151,Elections,"Electoral management bodies and processes, election observation, voters' education. (Use code 15230 when in the context of an international peacekeeping operation.)",1515101,Advocacy
,151,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515201,National Parliamentary Strengthening
,152,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515202,Subnational Parliamentary Strengthening
,153,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515203,Political Parties
,154,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515204,Parliamentary oversight
,155,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515205,Legislative drafting and analysis
,156,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515206,Committee Strengthening
,157,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515207,Parliamentary Committee staff training
,158,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515208,Parliamentary research and library
,159,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515209,Representation and Outreach
,160,Governance,151,Government & Civil Society,15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",1515210,Strategic Planning
,161,Governance,151,Government & Civil Society,15153,Media and free flow of information,"Activities that support free and uncensored flow of information on public issues; activities that increase the editorial and technical skills and the integrity of the print and broadcast media, e.g. training of journalists. (Use codes 22010-22040 for provision of equipment and capital assistance to media.)",1515301,Strategic Communication
,162,Governance,151,Government & Civil Society,15153,Media and free flow of information,"Activities that support free and uncensored flow of information on public issues; activities that increase the editorial and technical skills and the integrity of the print and broadcast media, e.g. training of journalists. (Use codes 22010-22040 for provision of equipment and capital assistance to media.)",1515302,Right to Information
,163,Governance,151,Government & Civil Society,15153,Media and free flow of information,"Activities that support free and uncensored flow of information on public issues; activities that increase the editorial and technical skills and the integrity of the print and broadcast media, e.g. training of journalists. (Use codes 22010-22040 for provision of equipment and capital assistance to media.)",1515303,Investigative Journalism
Hidden,84,Governance,151,Government & Civil Society,15154,Executive office,"Administration, operation or support of executive office. Includes office of the chief executive at all levels of government (monarch, governor-general, president, prime minister, governor, mayor, etc.).",0,Unspecified
Hidden,134,Governance,151,Government & Civil Society,15155,Tax policy and administration support,,0,Unspecified
Hidden,135,Governance,151,Government & Civil Society,15156,Other non-tax revenue mobilisation,"Non-tax public revenue, which includes line ministries, revenue authorities or other local, regional or national public bodies. ",0,Unspecified
,164,Governance,151,Government & Civil Society,15160,Human rights,"Measures to support specialised official human rights institutions and mechanisms at universal, regional, national and local levels in their statutory roles to promote and protect civil and political, economic, social and cultural rights as defined in international conventions and covenants; translation of international human rights commitments into national legislation; reporting and follow-up; human rights dialogue. Human rights defenders and human rights NGOs; human rights advocacy, activism, mobilisation; awareness raising and public human rights education. Human rights programming targeting specific groups, e.g. children, persons with disabilities, migrants, ethnic, religious, linguistic and sexual minorities, indigenous people and those suffering from caste discrimination, victims of trafficking, victims of torture. (Use code 15230 when in the context of a peacekeeping operation and code 15180 for ending violence against women and girls.)",1516001,Social Inclusion
,,Governance,151,Government & Civil Society,15164,Women's equality organisations and institutions,,0,Unspecified
,165,Governance,151,Government & Civil Society,15170,Women's equality organisations and institutions,Support for institutions and organisations (governmental and non-governmental) working for gender equality and women’s empowerment.,1517001,Gender Equality
,166,Governance,151,Government & Civil Society,15180,Ending violence against women and girls,"Support to programmes designed to prevent and eliminate all forms of violence against women and girls/gender-based violence. This encompasses a broad range of forms of physical, sexual and psychological violence including but not limited to: intimate partner violence (domestic violence); sexual violence; female genital mutilation/cutting (FGM/C); child, early and forced marriage; acid throwing; honour killings; and trafficking of women and girls. Prevention activities may include efforts to empower women and girls; change attitudes, norms and behaviour; adopt and enact legal reforms; and strengthen implementation of laws and policies on ending violence against women and girls, including through strengthening institutional capacity. Interventions to respond to violence against women and girls/gender-based violence may include expanding access to services including legal assistance, psychosocial counselling and health care; training personnel to respond more effectively to the needs of survivors; and ensuring investigation, prosecution and punishment of perpetrators of violence.",1518001,Primary Prevention
,167,Governance,151,Government & Civil Society,15180,Ending violence against women and girls,"Support to programmes designed to prevent and eliminate all forms of violence against women and girls/gender-based violence. This encompasses a broad range of forms of physical, sexual and psychological violence including but not limited to: intimate partner violence (domestic violence); sexual violence; female genital mutilation/cutting (FGM/C); child, early and forced marriage; acid throwing; honour killings; and trafficking of women and girls. Prevention activities may include efforts to empower women and girls; change attitudes, norms and behaviour; adopt and enact legal reforms; and strengthen implementation of laws and policies on ending violence against women and girls, including through strengthening institutional capacity. Interventions to respond to violence against women and girls/gender-based violence may include expanding access to services including legal assistance, psychosocial counselling and health care; training personnel to respond more effectively to the needs of survivors; and ensuring investigation, prosecution and punishment of perpetrators of violence.",1518002,Secondary Prevention
,168,Governance,151,Government & Civil Society,15180,Ending violence against women and girls,"Support to programmes designed to prevent and eliminate all forms of violence against women and girls/gender-based violence. This encompasses a broad range of forms of physical, sexual and psychological violence including but not limited to: intimate partner violence (domestic violence); sexual violence; female genital mutilation/cutting (FGM/C); child, early and forced marriage; acid throwing; honour killings; and trafficking of women and girls. Prevention activities may include efforts to empower women and girls; change attitudes, norms and behaviour; adopt and enact legal reforms; and strengthen implementation of laws and policies on ending violence against women and girls, including through strengthening institutional capacity. Interventions to respond to violence against women and girls/gender-based violence may include expanding access to services including legal assistance, psychosocial counselling and health care; training personnel to respond more effectively to the needs of survivors; and ensuring investigation, prosecution and punishment of perpetrators of violence.",1518003,Gender-Based Violence
Hidden,114,Governance,151,Government & Civil Society,15185,Local government administration,"Decentralisation processes (including political, administrative and fiscal dimensions); intergovernmental relations and federalism; strengthening local authorities.",0,Unspecified
,169,Governance,151,Government & Civil Society,15190,"Facilitation of orderly, safe, regular and responsible migration and mobility","Assistance to developing countries that facilitates the orderly, safe, regular and responsible migration and mobility of people. This includes:• Capacity building in migration and mobility policy, analysis, planning and management. This includes support to facilitate safe and regular migration and address irregular migration, engagement with diaspora and programmes enhancing the development impact of remittances and/or their use for developmental projects in developing countries.• Measures to improve migrant labour recruitment systems in developing countries.• Capacity building for strategy and policy development as well as legal and judicial development (including border management) in developing countries. This includes support to address and reduce vulnerabilities in migration, and strengthen the transnational response to smuggling of migrants and preventing and combating trafficking in human beings.• Support to effective strategies to ensure international protection and the right to asylum.• Support to effective strategies to ensure access to justice and assistance for displaced persons.• Assistance to migrants for their safe, dignified, informed and voluntary return to their country of origin (covers only returns from another developing country; assistance to forced returns is excluded from ODA).• Assistance to migrants for their sustainable reintegration in their country of origin (use code 93010 for pre-departure assistance provided in donor countries in the context of voluntary returns). Activities that pursue first and foremost providers’ interest are excluded from ODA. Activities addressing the root causes of forced displacement and irregular migration should not be coded here, but under their relevant sector of intervention. In addition, use code 15136 for support to countries' authorities for immigration affairs and services (optional), code 24050 for programmes aiming at reducing the sending costs of remittances, code 72010 for humanitarian aspects of assistance to refugees and internally displaced persons (IDPs) such as delivery of emergency services and humanitarian protection. Use code 93010 when expenditure is for the temporary sustenance of refugees in the donor country, including for their voluntary return and for their reintegration when support is provided in a donor country in connection with the return from that donor country (i.e. pre-departure assistance), or voluntary resettlement in a third developed country. 
",1519001,Resettlement
,170,Peace & Security,152,"Conflict, Peace & Security",15210,Security system management and reform,"Technical co-operation provided to parliament, government ministries, law enforcement agencies and the judiciary to assist review and reform of the security system to improve democratic governance and civilian control; technical co-operation provided to government to improve civilian oversight and democratic control of budgeting, management, accountability and auditing of security expenditure, including military budgets, as part of a public expenditure management programme; assistance to civil society to enhance its competence and capacity to scrutinise the security system so that it is managed in accordance with democratic norms and principles of accountability, transparency and good governance. [Other than in the context of an international peacekeeping operation (15230)].",0,Unspecified
,171,Peace & Security,152,"Conflict, Peace & Security",15220,"Civilian peace-building, conflict prevention and resolution","Support for civilian activities related to peace building, conflict prevention and resolution, including capacity building, monitoring, dialogue and information exchange. Bilateral participation in international civilian peace missions such as those conducted by the UN Department of Political Affairs (UNDPA) or the European Union (European Security and Defence Policy), and contributions to civilian peace funds or commissions (e.g. Peacebuilding Commission, Peacebuilding thematic window of the MDG achievement fund etc.). The contributions can take the form of financing or provision of equipment or civilian or military personnel (e.g. for training civilians).(Use code 15230 for bilateral participation in international peacekeeping operations).",1522001,Peace-Building and Political Transition
,172,Peace & Security,152,"Conflict, Peace & Security",15220,"Civilian peace-building, conflict prevention and resolution","Support for civilian activities related to peace building, conflict prevention and resolution, including capacity building, monitoring, dialogue and information exchange. Bilateral participation in international civilian peace missions such as those conducted by the UN Department of Political Affairs (UNDPA) or the European Union (European Security and Defence Policy), and contributions to civilian peace funds or commissions (e.g. Peacebuilding Commission, Peacebuilding thematic window of the MDG achievement fund etc.). The contributions can take the form of financing or provision of equipment or civilian or military personnel (e.g. for training civilians).(Use code 15230 for bilateral participation in international peacekeeping operations).",1522002,Countering Extremism
,173,Peace & Security,152,"Conflict, Peace & Security",15220,"Civilian peace-building, conflict prevention and resolution","Support for civilian activities related to peace building, conflict prevention and resolution, including capacity building, monitoring, dialogue and information exchange. Bilateral participation in international civilian peace missions such as those conducted by the UN Department of Political Affairs (UNDPA) or the European Union (European Security and Defence Policy), and contributions to civilian peace funds or commissions (e.g. Peacebuilding Commission, Peacebuilding thematic window of the MDG achievement fund etc.). The contributions can take the form of financing or provision of equipment or civilian or military personnel (e.g. for training civilians).(Use code 15230 for bilateral participation in international peacekeeping operations).",1522003,Security and Justice
,174,Peace & Security,152,"Conflict, Peace & Security",15220,"Civilian peace-building, conflict prevention and resolution","Support for civilian activities related to peace building, conflict prevention and resolution, including capacity building, monitoring, dialogue and information exchange. Bilateral participation in international civilian peace missions such as those conducted by the UN Department of Political Affairs (UNDPA) or the European Union (European Security and Defence Policy), and contributions to civilian peace funds or commissions (e.g. Peacebuilding Commission, Peacebuilding thematic window of the MDG achievement fund etc.). The contributions can take the form of financing or provision of equipment or civilian or military personnel (e.g. for training civilians).(Use code 15230 for bilateral participation in international peacekeeping operations).",1522004,"Women, Peace and Security"
Hidden,175,Peace & Security,152,"Conflict, Peace & Security",15230,Participation in international peacekeeping operations,"Bilateral participation in peacekeeping operations mandated or authorised by the United Nations (UN) through Security Council resolutions, and conducted by international organisations, e.g. UN, NATO, the European Union (Security and Defence Policy security-related operations), or regional groupings of developing countries. Direct contributions to the UN Department for Peacekeeping Operations (UNDPKO) budget are excluded from bilateral ODA (they are reportable in part as multilateral ODA, see Annex 9). The activities that can be reported as bilateral ODA under this code are limited to: human rights and election monitoring; reintegration of demobilised soldiers; rehabilitation of basic national infrastructure; monitoring or retraining of civil administrators and police forces; security sector reform and other rule of law-related activities; training in customs and border control procedures; advice or training in fiscal or macroeconomic stabilisation policy; repatriation and demobilisation of armed factions, and disposal of their weapons; explosive mine removal. The enforcement aspects of international peacekeeping operations are not reportable as ODA. ODA-eligible bilateral participation in peacekeeping operations can take the form of financing or provision of equipment or military or civilian personnel (e.g. police officers). The reportable cost is calculated as the excess over what the personnel and equipment would have cost to maintain had they not been assigned to take part in a peace operation. Costs for military contingents participating in UNDPKO peacekeeping operations are not reportable as ODA. International peacekeeping operations may include humanitarian-type activities (contributions to the form of equipment or personnel), as described in codes 7xxxx. These should be included under code 15230 if they are an integrated part of the activities above, otherwise they should be reported as humanitarian aid. NB: When using this code, indicate the name of the operation in the short description of the activity reported.",0,Unspecified
Hidden,176,Peace & Security,152,"Conflict, Peace & Security",15240,Reintegration and SALW control,"Reintegration of demobilised military personnel into the economy; conversion of production facilities from military to civilian outputs; technical co-operation to control, prevent and/or reduce the proliferation of small arms and light weapons (SALW) – see para. 80 of the Directives for definition of SALW activities covered. [Other than in the context of an international peacekeeping operation (15230) or child soldiers (15261)].",0,Unspecified
Hidden,177,Peace & Security,152,"Conflict, Peace & Security",15250,Removal of land mines and explosive remnants of war,"All activities related to land mines and explosive remnants of war which have benefits to developing countries as their main objective, including removal of land mines and explosive remnants of war, and stockpile destruction for developmental purposes [other than in the context of an international peacekeeping operation (15230)]; risk education and awareness raising; rehabilitation, reintegration and assistance to victims, and research and development on demining and clearance. Only activities for civilian purposes are ODA-eligible.",0,Unspecified
Hidden,178,Peace & Security,152,"Conflict, Peace & Security",15261,Child soldiers (prevention and demobilisation),"Technical co-operation provided to government – and assistance to civil society organisations – to support and apply legislation designed to prevent the recruitment of child soldiers, and to demobilise, disarm, reintegrate, repatriate and resettle (DDR) child soldiers.",0,Unspecified
,179,Social Services,160,Other Social Infrastructure & Services,16010,Social/welfare services,"Social legislation and administration; institution capacity building and advice; social security and other social schemes; special programmes for the elderly, orphans, the disabled, street children; social dimensions of structural adjustment; unspecified social infrastructure and services, including consumer protection.",0,Unspecified
Hidden,180,Social Services,160,Other Social Infrastructure & Services,16011,"Social protection and welfare services policy, planning and administration","Administration of overall social protection policies, plans, programmes and budgets including legislation, standards and statistics on social protection.",0,Unspecified
Hidden,181,Social Services,160,Other Social Infrastructure & Services,16012,Social security (excl pensions),Social protection shemes in the form of cash or in-kind benefits to people unable to work due to sickness or injury.,0,Unspecified
Hidden,182,Social Services,160,Other Social Infrastructure & Services,16013,General pensions,"Social protection schemes in the form of cash or in-kind benefits, including pensions, against the risks linked to old age.",0,Unspecified
Hidden,183,Social Services,160,Other Social Infrastructure & Services,16014,Civil service pensions,Pension schemes for government personnel.,0,Unspecified
Hidden,184,Social Services,160,Other Social Infrastructure & Services,16015,Social services (incl youth development and women+ children),"Social protection schemes in the form of cash or in-kind benefits to households with dependent children, including parental leave benefits.",0,Unspecified
,185,Social Services,160,Other Social Infrastructure & Services,16020,Employment creation,Employment policy and planning; labour law; labour unions; institution capacity building and advice; support programmes for unemployed; employment creation and income generation programmes; occupational safety and health; combating child labour.,0,Unspecified
Hidden,186,Social Services,160,Other Social Infrastructure & Services,16030,Housing policy and administrative management,"Housing sector policy, planning and programmes;  excluding low-cost housing and slum clearance (16040).",0,Unspecified
Hidden,187,Social Services,160,Other Social Infrastructure & Services,16040,Low-cost housing,Including slum clearance.,0,Unspecified
,188,Social Services,160,Other Social Infrastructure & Services,16050,Multisector aid for basic social services,"Basic social services are defined to include basic education, basic health, basic nutrition, population/reproductive health and basic drinking water supply and basic sanitation.",0,Unspecified
Hidden,189,Social Services,160,Other Social Infrastructure & Services,16061,Culture and recreation,Including libraries and museums.,0,Unspecified
,192,Social Services,160,Other Social Infrastructure & Services,16062,Statistical capacity building,Both in national statistical offices and any other government ministries.,0,Unspecified
,193,Social Services,160,Other Social Infrastructure & Services,16063,Narcotics control,In-country and customs controls including training of the police; educational programmes and awareness campaigns to restrict narcotics traffic and in-country distribution. ODA recording of narcotics control expenditures is limited to activities that focus on economic development and welfare including alternative development programmes and crop substitution (see 31165 and 43050). Activities by the donor country to interdict drug supplies destroy crops or train or finance military personnel in anti-narcotics activities are not reportable.,0,Unspecified
,194,Social Services,160,Other Social Infrastructure & Services,16064,Social mitigation of HIV/AIDS,"Special programmes to address the consequences of HIV/AIDS, e.g. social, legal and economic assistance to people living with HIV/AIDS including food security and employment; support to vulnerable groups and children orphaned by HIV/AIDS; human rights of HIV/AIDS affected people.",0,Unspecified
Hidden,190,Social Services,160,Other Social Infrastructure & Services,16065,Recreation and sport,,0,Unspecified
Hidden,191,Social Services,160,Other Social Infrastructure & Services,16066,Culture,,0,Unspecified
,195,Economic Growth,210,Transport & Storage,21000,Transport & Storage,,0,Unspecified
,196,Economic Growth,210,Transport & Storage,21010,Transport policy and administrative management,"Transport sector policy, planning and programmes; aid to transport ministries; institution capacity building and advice; unspecified transport; activities that combine road, rail, water and/or air transport. Whenever possible, report transport of goods under the sector of the good being transported.",21020,Road transport
Hidden,201,Economic Growth,210,Transport & Storage,21011,"Transport policy, planning and administration",Administration of affairs and services concerning transport systems.,0,Unspecified
Hidden,202,Economic Growth,210,Transport & Storage,21012,Public transport services,Administration of affairs and services concerning public transport.,0,Unspecified
Hidden,203,Economic Growth,210,Transport & Storage,21013,Transport regulation,"Supervision and regulation of users, operations, construction and maintenance of transport systems (registration, licensing, inspection of equipment, operator skills and training; safety standards, franchises, tariffs, levels of service, etc.).",0,Unspecified
Hidden,204,Economic Growth,210,Transport & Storage,21020,Road transport,"Road infrastructure, road vehicles; passenger road transport, motor passenger cars.",0,Unspecified
Hidden,205,Economic Growth,210,Transport & Storage,21021,Feeder road construction,Construction or operation of feeder road transport systems and facilities.,0,Unspecified
Hidden,206,Economic Growth,210,Transport & Storage,21022,Feeder road maintenance,Maintenance of feeder road transport systems and facilities.,0,Unspecified
Hidden,207,Economic Growth,210,Transport & Storage,21023,National road construction,Construction or operation of national road transport systems and facilities.,0,Unspecified
Hidden,208,Economic Growth,210,Transport & Storage,21024,National road maintenance,Maintenance of national road transport systems and facilities.,0,Unspecified
Hidden,209,Economic Growth,210,Transport & Storage,21030,Rail transport,"Rail infrastructure, rail equipment, locomotives, other rolling stock; including light rail (tram) and underground systems.",0,Unspecified
Hidden,210,Economic Growth,210,Transport & Storage,21040,Water transport,"Harbours and docks, harbour guidance systems, ships and boats; river and other inland water transport, inland barges and vessels.",0,Unspecified
Hidden,211,Economic Growth,210,Transport & Storage,21050,Air transport,"Airports, airport guidance systems, aeroplanes, aeroplane maintenance equipment.",0,Unspecified
Hidden,212,Economic Growth,210,Transport & Storage,21061,Storage,"Whether or not related to transportation. Whenever possible, report storage projects under the sector of the resource being stored.",0,Unspecified
Hidden,213,Economic Growth,210,Transport & Storage,21081,Education and training in transport and storage,,0,Unspecified
,214,Information and communication technology (ICT),220,Communications,22010,Communications policy and administrative management,"Communications sector policy, planning and programmes; institution capacity building and advice; including postal services development; unspecified communications activities.",0,Unspecified
Hidden,216,Information and communication technology (ICT),220,Communications,22012,Postal services,Development and operation of postal services.,0,Unspecified
Hidden,217,Information and communication technology (ICT),220,Communications,22013,Information services,Provision of information services.,0,Unspecified
,218,Information and communication technology (ICT),220,Communications,22020,Telecommunications,"Telephone networks, telecommunication satellites, earth stations.",0,Unspecified
,219,Information and communication technology (ICT),220,Communications,22030,Radio/television/print media,"Radio and TV links, equipment; newspapers; printing and publishing.",0,Unspecified
,220,Information and communication technology (ICT),220,Communications,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified. ,2204001,ICT Strategy & Design
,221,Information and communication technology (ICT),220,Communications,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified. ,2204002,Research
